group,comparison,lhs,rhs,n,mean_delta,sample_std_delta,ci95_low,ci95_high,wins,ties,losses,exact_sign_flip_p,holm_p_within_group,same_initialization_count,same_initialization_total,control_config_mismatch_keys
same_batch_component_bundle,warm_vs_plain,baseline_warmstart,baseline,5,0.006606906421118974,0.006050860460701958,-0.0009062291710893039,0.014120042013327252,4,0,1,0.125,0.625,0,5,
same_batch_component_bundle,region_vs_plain,baseline_llm_region,baseline,5,0.002575509169201129,0.00997668414746304,-0.009812180358153963,0.014963198696556221,4,0,1,0.5625,1.0,5,5,ei_n_external_restarts
same_batch_component_bundle,full_vs_plain,llmbo_mo,baseline,5,0.006366920450613667,0.009127155444259667,-0.004965939870533066,0.0176997807717604,3,0,2,0.25,1.0,0,5,ei_n_external_restarts
same_batch_component_bundle,full_vs_warm,llmbo_mo,baseline_warmstart,5,-0.00023998597050530756,0.009407731052467536,-0.011921226923137877,0.011441254982127261,3,0,2,1.0,1.0,0,5,ei_n_external_restarts
same_batch_component_bundle,full_vs_region,llmbo_mo,baseline_llm_region,5,0.003791411281412538,0.010672967070057807,-0.009460827683492577,0.017043650246317654,3,0,2,0.625,1.0,0,5,
shared_warmstart_region_increment,region_increment,llmbo_mo,baseline_warmstart,5,-0.000668407116446057,0.017272219051753687,-0.022114699682097807,0.020777885449205693,3,0,2,1.0,1.0,5,5,ei_n_external_restarts
independent_seed_robustness,warm_vs_plain,baseline_warmstart,baseline,5,-0.015402844156167406,0.018075261640063837,-0.03784624579274824,0.007040557480413429,1,0,4,0.125,0.375,0,5,
independent_seed_robustness,region_vs_plain,baseline_llm_region,baseline,5,0.0008726771322577597,0.005626839162613133,-0.006113966479641996,0.007859320744157515,1,3,1,1.0,1.0,5,5,ei_n_external_restarts
independent_seed_robustness,full_vs_plain,llmbo_mo,baseline,5,-0.012489038323803325,0.009916748818139354,-0.02480230831051671,-0.00017576833708993905,0,0,5,0.0625,0.3125,0,5,ei_n_external_restarts
independent_seed_robustness,full_vs_warm,llmbo_mo,baseline_warmstart,5,0.0029138058323640802,0.008753317195486237,-0.00795487299412914,0.013782484658857301,1,3,1,1.0,1.0,5,5,ei_n_external_restarts
independent_seed_robustness,full_vs_region,llmbo_mo,baseline_llm_region,5,-0.013361715456061084,0.005743234793895173,-0.02049288333287195,-0.006230547579250219,0,0,5,0.0625,0.3125,0,5,
warmstart_prompt,detailed_vs_random,detailed_prompt,baseline,10,0.0030995161882734156,0.05823579587083429,-0.038559862561572185,0.044758894938119013,3,0,7,0.875,0.875,0,10,
warmstart_prompt,experimental_vs_random,experimental_prompt,baseline,10,0.058284722705480775,0.04454211021789458,0.026421216555409258,0.09014822885555229,10,0,0,0.001953125,0.005859375,0,10,
warmstart_prompt,experimental_vs_detailed,experimental_prompt,detailed_prompt,10,0.055185206517207354,0.04645755534075964,0.021951473470521142,0.08841893956389357,9,0,1,0.00390625,0.0078125,0,10,
