group,variant,label,n,evaluations_per_run,canonical_hv_mean,canonical_hv_sample_std,ci95_low,ci95_high,pareto_size_mean,feasible_rate_mean,effective_lift_count_total,parse_fail_total
same_batch_component_bundle,baseline,Plain BO,5,56,0.3836350984492174,0.011284242529385232,0.36962386075347997,0.3976463361449548,45.2,1.0,0,0
same_batch_component_bundle,baseline_warmstart,Warm start,5,56,0.3902420048703364,0.008698158780075054,0.3794418142624572,0.40104219547821557,44.2,1.0,0,0
same_batch_component_bundle,baseline_llm_region,Region,5,56,0.3862106076184185,0.012504835136741861,0.37068380402565265,0.4017374112111844,45.2,1.0,27,0
same_batch_component_bundle,llmbo_mo,Full,5,56,0.3900020188998311,0.00665407190506306,0.38173989737385516,0.39826414042580704,44.4,1.0,28,0
shared_warmstart_region_increment,baseline_warmstart,Warm start,5,56,0.3938641207681884,0.008301592521895836,0.3835563322059927,0.40417190933038405,44.2,1.0,0,0
shared_warmstart_region_increment,llmbo_mo,Warm + Region,5,56,0.3931957136517423,0.013042689031589297,0.3770010762414507,0.40939035106203386,45.0,1.0,32,0
independent_seed_robustness,baseline,Plain BO,5,56,0.3917290419191077,0.007775231055976654,0.3820748174391856,0.40138326639902977,42.8,1.0,0,0
independent_seed_robustness,baseline_warmstart,Warm start,5,56,0.3763261977629403,0.011784469783588951,0.36169384589473774,0.39095854963114285,42.4,1.0,0,0
independent_seed_robustness,baseline_llm_region,Region,5,56,0.3926017190513654,0.004716905841050794,0.3867449068856156,0.3984585312171153,42.8,1.0,0,48
independent_seed_robustness,llmbo_mo,Full,5,56,0.3792400035953044,0.005296636243939242,0.37266336105962383,0.385816646130985,42.8,1.0,0,59
warmstart_prompt,baseline,Random init,10,26,0.31061529517619046,0.04302803906800754,0.2798348902792942,0.3413957000730867,17.4,1.0,0,0
warmstart_prompt,detailed_prompt,Detailed prompt,10,26,0.31371481136446383,0.04674869636739803,0.28027280857376574,0.3471568141551619,15.6,1.0,0,0
warmstart_prompt,experimental_prompt,Experimental prompt,10,26,0.3689000178816712,0.008236982335993048,0.3630076356834092,0.3747924000799332,17.1,1.0,0,0
