algorithm,seed,canonical_hv,display_hv,pareto_size
ParEGO,8409,1.5743831138363293,3.935957784590823,34
ParEGO,8410,1.6014742474417822,4.003685618604456,32
ParEGO,8411,1.5893501621907349,3.973375405476837,40
ParEGO,8412,1.5956672119594864,3.9891680298987158,32
ParEGO,8413,1.5719387524230193,3.929846881057548,35
LLMBO-MO,8409,1.86497799952701,4.6624449988175245,24
LLMBO-MO,8410,1.8713727236251527,4.678431809062881,25
LLMBO-MO,8411,1.8698469885903224,4.6746174714758055,29
LLMBO-MO,8412,1.869784086941467,4.674460217353667,27
LLMBO-MO,8413,1.866104317645386,4.665260794113465,29
