eval_index,parego_mean_optimal_protocols,parego_std_optimal_protocols,parego_lower,parego_upper,llmbo_mo_mean_optimal_protocols,llmbo_mo_std_optimal_protocols,llmbo_mo_lower,llmbo_mo_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2,1.8,0.4,1.4,2.2,2.0,0.0,2.0,2.0
3,2.6,0.4898979485566356,2.1101020514433646,3.0898979485566356,2.0,0.0,2.0,2.0
4,3.4,0.4898979485566356,2.9101020514433644,3.8898979485566354,2.8,0.39999999999999997,2.4,3.1999999999999997
5,4.4,0.48989794855663565,3.910102051443365,4.889897948556636,3.8,0.39999999999999997,3.4,4.2
6,4.8,0.7483314773547882,4.051668522645212,5.548331477354788,4.6,0.4898979485566356,4.110102051443364,5.089897948556636
7,5.2,0.39999999999999997,4.8,5.6000000000000005,4.6,0.48989794855663565,4.110102051443364,5.089897948556636
8,6.0,0.6324555320336759,5.367544467966324,6.632455532033676,5.2,0.7483314773547882,4.451668522645212,5.948331477354788
9,6.2,0.39999999999999997,5.8,6.6000000000000005,5.8,0.7483314773547882,5.051668522645212,6.548331477354788
10,7.0,0.6324555320336759,6.367544467966324,7.632455532033676,6.4,1.0198039027185568,5.380196097281443,7.419803902718558
11,7.2,0.9797958971132712,6.220204102886729,8.179795897113271,7.2,1.16619037896906,6.03380962103094,8.36619037896906
12,7.4,1.4966629547095764,5.903337045290424,8.896662954709576,7.8,1.32664991614216,6.47335008385784,9.12664991614216
13,8.0,1.8973665961010275,6.102633403898972,9.897366596101028,8.4,1.4966629547095764,6.903337045290424,9.896662954709576
14,8.8,1.7204650534085253,7.079534946591475,10.520465053408525,9.0,1.2649110640673518,7.735088935932648,10.264911064067352
15,9.6,2.0591260281974,7.5408739718026,11.659126028197399,9.6,1.624807680927192,7.975192319072807,11.224807680927192
16,10.2,1.7204650534085253,8.479534946591475,11.920465053408524,9.8,1.469693845669907,8.330306154330094,11.269693845669908
17,10.8,1.5999999999999999,9.200000000000001,12.4,10.4,1.4966629547095764,8.903337045290424,11.896662954709576
18,11.6,1.4966629547095764,10.103337045290424,13.096662954709576,10.6,1.7435595774162693,8.85644042258373,12.343559577416269
19,12.0,1.4142135623730951,10.585786437626904,13.414213562373096,11.2,1.5999999999999999,9.6,12.799999999999999
20,12.0,1.0954451150103321,10.904554884989668,13.095445115010332,11.8,1.32664991614216,10.473350083857841,13.12664991614216
21,11.6,1.9595917942265424,9.640408205773458,13.559591794226542,12.6,1.0198039027185568,11.580196097281442,13.619803902718557
22,12.2,1.9390719429665317,10.260928057033468,14.139071942966531,13.0,1.4142135623730951,11.585786437626904,14.414213562373096
23,13.0,1.6733200530681511,11.326679946931849,14.673320053068151,13.8,1.6,12.200000000000001,15.4
24,13.2,1.7204650534085253,11.479534946591475,14.920465053408524,14.6,1.8547236990991407,12.745276300900859,16.45472369909914
25,13.8,1.7204650534085253,12.079534946591476,15.520465053408525,15.4,1.624807680927192,13.775192319072808,17.024807680927193
26,14.6,2.0591260281974,12.5408739718026,16.6591260281974,15.6,1.624807680927192,13.975192319072807,17.224807680927192
27,14.8,1.9390719429665317,12.860928057033469,16.739071942966532,16.2,2.1354156504062622,14.064584349593737,18.33541565040626
28,14.6,2.0591260281974,12.5408739718026,16.6591260281974,16.4,2.3323807579381204,14.067619242061879,18.73238075793812
29,14.8,1.8330302779823362,12.966969722017664,16.633030277982336,17.0,2.280350850198276,14.719649149801723,19.280350850198275
30,15.2,1.4696938456699067,13.730306154330092,16.669693845669904,17.6,2.727636339397171,14.87236366060283,20.327636339397174
31,16.0,1.6733200530681511,14.326679946931849,17.673320053068153,18.2,3.1874754901018454,15.012524509898153,21.387475490101846
32,16.8,1.9390719429665315,14.860928057033469,18.739071942966532,18.8,3.249615361854384,15.550384638145616,22.049615361854386
33,17.8,1.9390719429665315,15.860928057033469,19.739071942966532,19.4,3.1999999999999997,16.2,22.599999999999998
34,18.8,1.9390719429665315,16.86092805703347,20.739071942966532,19.8,3.1874754901018454,16.612524509898154,22.987475490101847
35,19.6,2.0591260281974,17.5408739718026,21.659126028197402,19.6,2.244994432064365,17.355005567935635,21.844994432064368
36,20.6,2.0591260281974,18.5408739718026,22.659126028197402,20.2,2.7129319932501073,17.487068006749894,22.912931993250105
37,21.2,1.7204650534085253,19.479534946591475,22.920465053408524,20.6,3.0066592756745814,17.59334072432542,23.606659275674584
38,21.6,2.0591260281974,19.5408739718026,23.659126028197402,20.8,2.7856776554368237,18.014322344563176,23.585677655436825
39,22.6,2.0591260281974,20.5408739718026,24.659126028197402,20.8,2.3151673805580453,18.484832619441956,23.115167380558045
40,23.2,2.481934729198171,20.71806527080183,25.68193472919817,21.4,2.0591260281974,19.340873971802598,23.4591260281974
41,24.2,2.481934729198171,21.71806527080183,26.68193472919817,21.6,1.3564659966250536,20.243534003374947,22.956465996625056
42,25.2,2.481934729198171,22.71806527080183,27.68193472919817,21.6,1.7435595774162693,19.85644042258373,23.343559577416272
43,26.0,2.756809750418044,23.243190249581957,28.756809750418043,21.4,1.854723699099141,19.54527630090086,23.254723699099138
44,26.6,3.1368774282716245,23.463122571728377,29.736877428271626,21.4,1.854723699099141,19.54527630090086,23.254723699099138
45,27.4,3.2619012860600183,24.138098713939982,30.661901286060015,21.8,1.8330302779823362,19.966969722017666,23.633030277982336
46,28.0,2.8284271247461903,25.17157287525381,30.82842712474619,22.0,1.7888543819998317,20.211145618000167,23.788854381999833
47,28.8,2.85657137141714,25.94342862858286,31.65657137141714,22.0,2.1908902300206643,19.809109769979337,24.190890230020663
48,29.8,2.85657137141714,26.94342862858286,32.656571371417144,22.4,2.154065922853802,20.245934077146195,24.554065922853802
49,30.8,2.85657137141714,27.94342862858286,33.656571371417144,23.0,2.0976176963403033,20.902382303659696,25.097617696340304
50,31.4,3.2619012860600183,28.138098713939982,34.661901286060015,23.4,1.7435595774162693,21.656440422583728,25.14355957741627
51,32.4,3.2619012860600183,29.138098713939982,35.661901286060015,23.6,1.624807680927192,21.97519231907281,25.224807680927192
52,33.2,3.54400902933387,29.65599097066613,36.744009029333874,24.2,1.9390719429665317,22.260928057033468,26.13907194296653
