eval_index,canonical_hv,display_hv,pareto_size
1,1.119773351508191,2.7994333787704773,1
2,1.119773351508191,2.7994333787704773,2
3,1.119773351508191,2.7994333787704773,2
4,1.119773351508191,2.7994333787704773,2
5,1.126624758937186,2.816561897342965,3
6,1.137247039962755,2.843117599906887,4
7,1.1373844115366405,2.843461028841601,5
8,1.1430245452580194,2.8575613631450483,6
9,1.3046827173509437,3.261706793377359,7
10,1.3046834992389704,3.261708748097426,8
11,1.307792988328188,3.2694824708204697,9
12,1.3077933840624016,3.269483460156004,10
13,1.308210660810847,3.2705266520271175,11
14,1.3113228389793863,3.2783070974484656,11
15,1.3113551045095835,3.2783877612739585,12
16,1.3142405986577892,3.285601496644473,12
17,1.7664410118024843,4.41610252950621,12
18,1.7664410118024843,4.41610252950621,12
19,1.767222175432594,4.418055438581485,13
20,1.7675351776411476,4.418837944102869,14
21,1.7686225420717026,4.4215563551792565,14
22,1.7691679834919667,4.422919958729916,15
23,1.8406428163318589,4.601607040829647,16
24,1.8413682750910503,4.603420687727626,17
25,1.8413682750910503,4.603420687727626,17
26,1.8413682750910503,4.603420687727626,17
27,1.8418600086519155,4.604650021629788,18
28,1.841914263704598,4.604785659261495,19
29,1.8481138386283664,4.620284596570916,19
30,1.84814984100888,4.620374602522199,20
31,1.848161940606773,4.620404851516932,21
32,1.848161940606773,4.620404851516932,21
33,1.8509900564993107,4.627475141248277,22
34,1.850990430699307,4.627476076748267,23
35,1.8536314393306674,4.634078598326668,22
36,1.8561786492155359,4.640446623038839,23
37,1.8561786492155359,4.640446623038839,23
38,1.8561786492155359,4.640446623038839,23
39,1.856200183955331,4.640500459888328,23
40,1.856200183955331,4.640500459888328,23
41,1.8562008358254876,4.640502089563719,23
42,1.8562011983194122,4.64050299579853,24
43,1.8562011983194122,4.64050299579853,24
44,1.8610609597378232,4.652652399344557,24
45,1.8610609597378232,4.652652399344557,24
46,1.8642802722298977,4.6607006805747435,23
47,1.864648349980726,4.661620874951815,24
48,1.864935972410789,4.662339931026972,25
49,1.8652711741626096,4.663177935406524,26
50,1.8652711741626096,4.663177935406524,26
51,1.8652711741626096,4.663177935406524,26
52,1.865271182607269,4.663177956518172,27
53,1.8658993192590911,4.664748298147727,27
54,1.8660781228614152,4.665195307153538,28
55,1.8660781228614152,4.665195307153538,28
56,1.866104317645386,4.665260794113465,29
