eval_index,parego_hv,parego_plot_band,parego_lower,parego_upper,llambo_mo_hv,llambo_mo_plot_band,llambo_mo_lower,llambo_mo_upper,nsga2_mean_hv,nsga2_std_hv,nsga2_lower,nsga2_upper,disk_mean_hv,disk_std_hv,disk_lower,disk_upper,pimd_mean_hv,pimd_std_hv,pimd_lower,pimd_upper
1,0.13064659220586083,0.011948843542420005,0.11869774866344082,0.14259543574828085,0.17682514530040797,0.005097911562734345,0.17172723373767362,0.1819230568631423,0.18677183343231135,0.03194794747280579,0.15482388595950555,0.21871978090511715,0.14292983117063554,0.03898556195704757,0.10394426921358797,0.18191539312768312,0.14292983117063554,0.03898556195704757,0.10394426921358797,0.18191539312768312
2,0.20200383923848106,0.011948843542420005,0.19005499569606105,0.21395268278090107,0.17770525924100095,0.0061284579711919016,0.17157680126980904,0.18383371721219285,0.21983055845776872,0.03260851773126302,0.1872220407265057,0.2524390761890317,0.17584415663733619,0.0175256416451417,0.1583185149921945,0.19336979828247788,0.17584415663733619,0.0175256416451417,0.1583185149921945,0.19336979828247788
3,0.2259754433896838,0.011948843542420005,0.2140265998472638,0.23792428693210382,0.1921974159124473,0.009134296824096033,0.18306311908835127,0.20133171273654332,0.25454440917524923,0.040561930914379006,0.21398247826087022,0.2951063400896282,0.2060605047504916,0.009532974827502854,0.19652752992298875,0.21559347957799443,0.2060605047504916,0.009532974827502854,0.19652752992298875,0.21559347957799443
4,0.22849320727413885,0.011948843542420005,0.21654436373171884,0.24044205081655887,0.19294651636840404,0.00955990220247366,0.18338661416593038,0.2025064185708777,0.25912172282005336,0.039672592223287936,0.2194491305967654,0.2987943150433413,0.21985481740226404,0.012891466051899912,0.20696335135036412,0.23274628345416395,0.21985481740226404,0.012891466051899912,0.20696335135036412,0.23274628345416395
5,0.23273133351425362,0.011948843542420005,0.2207824899718336,0.24468017705667364,0.21225698754292277,0.010068775550781346,0.20218821199214143,0.2223257630937041,0.2741745470107765,0.029989419932825445,0.24418512707795104,0.3041639669436019,0.23094557563741525,0.023750945578433633,0.20719463005898162,0.2546965212158489,0.23094557563741525,0.023750945578433633,0.20719463005898162,0.2546965212158489
6,0.23273133351425362,0.011948843542420005,0.2207824899718336,0.24468017705667364,0.22622665470554748,0.010068775550781346,0.21615787915476614,0.23629543025632882,0.29155359341837245,0.027905700629756433,0.263647892788616,0.3194592940481289,0.23332709010543687,0.024511127172635934,0.20881596293280094,0.2578382172780728,0.23332709010543687,0.024511127172635934,0.20881596293280094,0.2578382172780728
7,0.2341035473453987,0.011948843542420005,0.2221547038029787,0.24605239088781872,0.26344098216474604,0.010068775550781346,0.2533722066139647,0.2735097577155274,0.2938429622352059,0.027530839651953392,0.2663121225832525,0.3213738018871593,0.2391129757872946,0.02747053661969696,0.21164243916759765,0.2665835124069916,0.2391129757872946,0.02747053661969696,0.21164243916759765,0.2665835124069916
8,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216,0.26400015159416995,0.010068775550781346,0.2539313760433886,0.2740689271449513,0.29523791597082194,0.029033030821977248,0.2662048851488447,0.32427094679279916,0.24444933636126026,0.02925938749425016,0.2151899488670101,0.2737087238555104,0.24444933636126026,0.02925938749425016,0.2151899488670101,0.2737087238555104
9,0.23934052432543218,0.010626684816184201,0.22871383950924798,0.24996720914161638,0.3133406512792755,0.010068775550781346,0.3032718757284942,0.32340942683005686,0.2977885824124149,0.029946075757039652,0.26784250665537523,0.3277346581694546,0.25124296093445553,0.025779348520277977,0.22546361241417756,0.2770223094547335,0.25124296093445553,0.025779348520277977,0.22546361241417756,0.2770223094547335
10,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216,0.32341835011871595,0.010068775550781346,0.3133495745679346,0.3334871256694973,0.29956615683032545,0.029777991403103637,0.26978816542722184,0.32934414823342906,0.2566879082824949,0.018121905161137437,0.23856600312135745,0.2748098134436323,0.2566879082824949,0.018121905161137437,0.23856600312135745,0.2748098134436323
11,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457,0.30295643954072027,0.026379047087852065,0.2765773924528682,0.3293354866285723,0.2568816232199993,0.01791485613458041,0.2389667670854189,0.27479647935457974,0.2568816232199993,0.01791485613458041,0.2389667670854189,0.27479647935457974
12,0.23940117321125892,0.011948843542420005,0.2274523296688389,0.2513500167536789,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.2589428940049513,0.016432323406588057,0.24251057059836323,0.27537521741153936,0.2589428940049513,0.016432323406588057,0.24251057059836323,0.27537521741153936
13,0.2408393746103708,0.011948843542420005,0.2288905310679508,0.2527882181527908,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.259598268773413,0.016128755989876408,0.24346951278353662,0.2757270247632894,0.259598268773413,0.016128755989876408,0.24346951278353662,0.2757270247632894
14,0.2887952402457427,0.011267137967961216,0.2775281022777815,0.3000623782137039,0.325527510992196,0.010068775550781346,0.3154587354414147,0.33559628654297735,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.26020404518321616,0.016032484073440892,0.24417156110977528,0.27623652925665704,0.26020404518321616,0.016032484073440892,0.24417156110977528,0.27623652925665704
15,0.28989468960503656,0.00977514900748215,0.2801195405975544,0.2996698386125187,0.32684914577688506,0.010068775550781346,0.3167803702261037,0.3369179213276664,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.26670729496931656,0.016791852500826685,0.24991544246848987,0.28349914747014326,0.26670729496931656,0.016791852500826685,0.24991544246848987,0.28349914747014326
16,0.2899114401056976,0.009879860288685993,0.2800315798170116,0.29979130039438356,0.32690705545448456,0.010068775550781346,0.3168382799037032,0.3369758310052659,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.2670943350599869,0.016924680122465664,0.25016965493752125,0.2840190151824526,0.2670943350599869,0.016924680122465664,0.25016965493752125,0.2840190151824526
17,0.2918004231127961,0.008289962829123943,0.28351046028367216,0.30009038594192,0.32692086559501027,0.009898185013442326,0.31702268058156796,0.3368190506084526,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.2672745763534798,0.016861567888806044,0.25041300846467374,0.28413614424228584,0.2672745763534798,0.016861567888806044,0.25041300846467374,0.28413614424228584
18,0.29200899314342327,0.009408791536664927,0.28260020160675836,0.3014177846800882,0.3338580686842498,0.010035084770135356,0.3238229839141144,0.34389315345438515,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.2717465336421972,0.02101255380146323,0.250733979840734,0.2927590874436604,0.2717465336421972,0.02101255380146323,0.250733979840734,0.2927590874436604
19,0.29202700535786164,0.007694656257295199,0.28433234910056643,0.29972166161515684,0.35006370876402565,0.010048740247084648,0.340014968516941,0.3601124490111103,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.27179691204321277,0.021073658364195145,0.2507232536790176,0.29287057040740794,0.27179691204321277,0.021073658364195145,0.2507232536790176,0.29287057040740794
20,0.29263875180877685,0.005519518659343046,0.28711923314943383,0.2981582704681199,0.35006370876402565,0.006695841443030939,0.3433678673209947,0.3567595502070566,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
21,0.29353034722474103,0.007510865382267418,0.2860194818424736,0.30104121260700845,0.35006370876402565,0.006506560710343841,0.3435571480536818,0.3565702694743695,0.3033016375254225,0.026359528460127648,0.2769421090652949,0.3296611659855501,0.27775794341189797,0.02510635063812309,0.25265159277377486,0.3028642940500211,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
22,0.29423405298957067,0.008195896728913316,0.2860381562606574,0.30242994971848397,0.35008568091884307,0.006667648758773654,0.3434180321600694,0.35675332967761675,0.3033016375254225,0.026359528460127648,0.2769421090652949,0.3296611659855501,0.2786835134311032,0.02599546447123924,0.25268804895986396,0.30467897790234244,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
23,0.2958288086539292,0.008317729395975878,0.28751107925795333,0.30414653804990505,0.35009010921646183,0.00339184452153495,0.34669826469492687,0.3534819537379968,0.30344387168315673,0.026260260541280035,0.2771836111418767,0.3297041322244368,0.29747048323264885,0.025737787030054665,0.2717326962025942,0.3232082702627035,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
24,0.2958288086539292,0.007767985742757383,0.2880608229111718,0.3035967943966866,0.35009469937827453,0.0026535507198119914,0.34744114865846254,0.3527482500980865,0.30405110924729073,0.025867379236905935,0.27818373001038477,0.3299184884841967,0.2978434604127809,0.025365338702611435,0.2724781217101695,0.32320879911539235,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
25,0.296818103423187,0.007722554308770903,0.2890955491144161,0.3045406577319579,0.35070847412969874,0.0026922094186368237,0.3480162647110619,0.3534006835483356,0.30431330479231206,0.02571361946994891,0.2785996853223631,0.330026924262261,0.29857697237728925,0.025691027671661967,0.27288594470562727,0.32426800004895123,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
26,0.2991685611357067,0.0078020828504750395,0.29136647828523166,0.3069706439861818,0.3507108577937088,0.0025380679491156855,0.3481727898445931,0.3532489257428245,0.30431330479231206,0.02571361946994891,0.2785996853223631,0.330026924262261,0.2987716184617285,0.025722743776498486,0.27304887468523004,0.324494362238227,0.2831097051446562,0.02295043515729706,0.26015926998735917,0.3060601403019533
27,0.29916900473539276,0.006835012081452142,0.2923339926539406,0.3060040168168449,0.3507108577937088,0.0024163292896086193,0.3482945285041002,0.3531271870833174,0.30434237632338634,0.02569717337880558,0.2786452029445808,0.3300395497021919,0.30003935152304545,0.025084350197725824,0.27495500132531964,0.32512370172077126,0.28743098176926785,0.023747891352397174,0.26368309041687066,0.31117887312166503
28,0.299470889439808,0.006777126517268276,0.29269376292253974,0.30624801595707624,0.3507257805578844,0.0022243695182682264,0.3485014110396162,0.3529501500761526,0.30437335825708123,0.025679779863953596,0.27869357839312764,0.3300531381210348,0.30014383675673784,0.025116475864457817,0.27502736089228,0.32526031262119565,0.2875109398779265,0.02379678294285324,0.2637141569350732,0.31130772282077973
29,0.32249104912175924,0.00740360148145253,0.3150874476403067,0.32989465060321177,0.37420323508197934,0.0024314856296009575,0.3717717494523784,0.3766347207115803,0.30437335825708123,0.025679779863953596,0.27869357839312764,0.3300531381210348,0.30022692026165193,0.025133781501921342,0.27509313875973057,0.3253607017635733,0.2877146656759924,0.02397034910388034,0.26374431657211206,0.31168501477987276
30,0.32318794319710553,0.005362984658137353,0.3178249585389682,0.32855092785524287,0.37425865072614156,0.0026836614714951454,0.37157498925464644,0.3769423121976367,0.3046948839543372,0.02629014939257398,0.27840473456176323,0.33098503334691115,0.3003027393437532,0.025147291963835635,0.27515544737991754,0.3254500313075888,0.2878811197534039,0.02389738744707848,0.26398373230632544,0.3117785072004824
31,0.3233020455328716,0.004522482870013615,0.318779562662858,0.32782452840288523,0.3758247942861073,0.0023786578824131583,0.3734461364036942,0.37820345216852047,0.3050426167132124,0.026293537661778218,0.2787490790514342,0.33133615437499064,0.30048005232857466,0.02537240352875097,0.2751076487998237,0.32585245585732564,0.2880772938752928,0.024041588111812767,0.26403570576348,0.3121188819871056
32,0.3237959877389869,0.00448403510058656,0.31931195263840034,0.3282800228395734,0.3758247942861073,0.0026478722204139483,0.37317692206569336,0.3784726665065213,0.31158849834910296,0.02553965958896563,0.2860488387601373,0.3371281579380686,0.3006902574072653,0.025481420560162484,0.2752088368471028,0.3261716779674278,0.2880902480541596,0.02402636126820399,0.2640638867859556,0.3121166093223636
33,0.3238014229911173,0.00448403510058656,0.31931738789053077,0.32828545809170384,0.3777344870566522,0.0025203335739616716,0.3752141534826905,0.3802548206306139,0.3118882515726641,0.02555552347942964,0.28633272809323446,0.3374437750520937,0.30096061757627196,0.025596294234021984,0.27536432334225,0.32655691181029395,0.28829819570081766,0.024104193168058133,0.26419400253275954,0.3124023888688758
