collection,experiment_family,variant_group,report_dir,report_path,group_name,structured_report,run_count,mean_hv,std_hv,mean_hv_raw,std_hv_raw,mean_init_hv,std_init_hv,mean_pareto_size,std_pareto_size,mean_hv_violations,rerank_applied_count,rerank_active_count,group_payload
api_experiments,api_experiments,,api_experiments,api_experiments/report.json,no_llm_baseline,False,0,,,,,,,,,,,,"{""hypervolume"": 0.3489846920729334, ""hypervolume_raw"": 10.268891979951693, ""last_guidance"": null, ""n_feasible"": 14, ""n_total"": 16, ""pareto_size"": 12, ""pareto_source_counts"": {""bo"": 6, ""random_init"": 6}, ""warmstart_trace"": [{""hypervolume"": 0.25246591536217355, ""hypervolume_raw"": 7.428822158571865, ""n_evaluated"": 5, ""pareto_size"": 5}, {""hypervolume"": 0.25695321501410096, ""hypervolume_raw"": 7.56086117476369, ""n_evaluated"": 6, ""pareto_size"": 6}]}"
api_experiments,api_experiments,,api_experiments,api_experiments/report.json,real_api_fullcoupled,False,0,,,,,,,,,,,,"{""hypervolume"": 0.31511331545508914, ""hypervolume_raw"": 9.272225032657012, ""last_guidance"": {""confidence"": 0.95, ""lb"": null, ""mode"": ""point"", ""note"": """", ""point"": [5.44, 4.93, 3.0, 0.4, 0.1], ""raw_text"": ""[\""point\"", [5.44, 4.93, 3.00, 0.4, 0.1], 0.95]"", ""ub"": null}, ""n_feasible"": 14, ""n_total"": 16, ""pareto_size"": 11, ""pareto_source_counts"": {""bo"": 7, ""llm_warmstart"": 2, ""random_init"": 2}, ""warmstart_trace"": [{""hypervolume"": 0.3146326283991577, ""hypervolume_raw"": 9.258080792048059, ""n_evaluated"": 5, ""pareto_size"": 4}, {""hypervolume"": 0.31966522366206396, ""hypervolume_raw"": 9.40616515880533, ""n_evaluated"": 6, ""pareto_size"": 4}]}"
fixed_experiments,fixed_experiments,,fixed_experiments,fixed_experiments/report.json,fixed_no_llm_baseline,False,0,,,,,,,,,,,,"{""hv_violations"": 0, ""hypervolume"": 0.3489846920729334, ""hypervolume_raw"": 10.268891979951693, ""last_gp_llm_coupling"": null, ""last_guidance"": null, ""n_feasible"": 14, ""n_total"": 16, ""pareto_size"": 12, ""pareto_source_counts"": {""bo"": 6, ""random_init"": 6}, ""warmstart_trace"": [{""hypervolume"": 0.25246591536217355, ""hypervolume_raw"": 7.428822158571864, ""n_evaluated"": 5, ""pareto_size"": 5}, {""hypervolume"": 0.25695321501410096, ""hypervolume_raw"": 7.56086117476369, ""n_evaluated"": 6, ""pareto_size"": 6}]}"
fixed_experiments,fixed_experiments,,fixed_experiments,fixed_experiments/report.json,fixed_real_api_fullcoupled,False,0,,,,,,,,,,,,"{""hv_violations"": 0, ""hypervolume"": 0.3007569670140424, ""hypervolume_raw"": 8.849788763341088, ""last_gp_llm_coupling"": {""confidence"": 0.85, ""grid"": [[5.78, 3.87, 2.04, 0.141, 0.243], [5.885798614919185, 4.332502137059346, 2.2420525442203507, 0.1825495754284784, 0.23938693428598345], [5.3688385279476645, 3.6850734771508726, 2.0987225219653918, 0.146382227526512, 0.2677332985885441], [4.972703786492349, 4.167843206953258, 2.182094039618969, 0.1626785279843025, 0.255528304439038], [5.57743445917964, 3.464608341995627, 2.026278062099591, 0.1255492191845551, 0.2037154845725745], [5.680871250629425, 3.9476229620911183, 2.0995531255332756, 0.11220583174005151, 0.21442217597924174], [5.148378314822913, 3.2260392024926845, 2.2221960697555914, 0.17603453881153835, 0.25331267406418917], [5.194376243650914, 4.383967232080177, 2.039401028659195, 0.13302387358667328, 0.2854259267561138], [5.779098798185587, 3.7548977664951235, 2.149686432844028, 0.1958940634932369, 0.22447522310726345], [5.796821833997965, 4.082432612339034, 2.0644916161615403, 0.17375494953943416, 0.2753942295927554], [5.2817941990494734, 3.3799489704240115, 2.141587720923126, 0.10071452545840294, 0.23729803468286992], [5.025926179736853, 4.247175536658615, 2.124676457536407, 0.20813382105436173, 0.20160229555517437], [5.628182394504547, 3.6003333249874414, 2.214258709079586, 0.13413159815734252, 0.263341412583366], [5.454848008602858, 4.4673182220943275, 2.190169015256688, 0.14748966714041306, 0.24552073374576866], [4.920422683358193, 3.838979380186647, 2.00129208246246, 0.1947892032433301, 0.21655691872537136], [5.38615381076932, 4.031055376427248, 2.250029823393561, 0.11405778315663338, 0.22654293275624512], [5.973350885808468, 3.31003746570088, 2.073510748515837, 0.16039865375543014, 0.27774341989494855], [5.943677593171596, 3.9604383359011264, 2.1402202547341584, 0.1271420200029388, 0.2076120103262365], [5.411456375867129, 3.3346776835899803, 2.0517541307304055, 0.20156069872854276, 0.25731032630614936], [4.897324641346932, 4.539247823394835, 2.2000817055394872, 0.10728090279689059, 0.27017553078196943], [5.482316778153182, 3.815663310214877, 2.1239721422689035, 0.1807508717207238, 0.2425381056703627], [5.5878556537628175, 4.25055527843535, 2.015065249335021, 0.16697103236429395, 0.22062089436873794], [5.070623648017645, 3.550644595809281, 2.190500800004229, 0.12104811796220019, 0.28368683045916254], [5.234892207682133, 4.080375731019303, 2.075249702739529, 0.1877923821345903, 0.25082753809355196], [5.839353097826242, 3.430951547836885, 2.2631721879774704, 0.14092420166358352, 0.2112287428714335], [5.7519056357443334, 4.454580083331093, 2.08376908805687, 0.1189835469624959, 0.2608562657162547]], ""lambda_value"": 1.0, ""mode"": ""point"", ""posterior_variance"": 0.019966159007633846, ""weights"": [0.29352821098566795, 0.010296728387906875, 0.07835995677630496, 0.012483387249727794, 0.025098674907112234, 0.0752337323998966, 0.0025127618357163413, 0.006487861859669941, 0.03268271262824116, 0.052044768807749206, 0.0175095355810157, 0.0007402655726031924, 0.03952100995259336, 0.018899192472100614, 0.006256051220211546, 0.01739657641391264, 0.01663534536963405, 0.047558944871669624, 0.009689564226263724, 0.0006384606315001711, 0.08804238580483453, 0.06279200865601432, 0.003622739116678276, 0.03977759193436778, 0.00644003874526578, 0.03575149359334173]}, ""last_guidance"": {""confidence"": 0.85, ""lb"": null, ""mode"": ""point"", ""note"": """", ""point"": [5.78, 3.87, 2.04, 0.141, 0.243], ""raw_text"": ""[\""point\"", [5.78, 3.87, 2.04, 0.141, 0.243], 0.85]"", ""ub"": null}, ""n_feasible"": 11, ""n_total"": 16, ""pareto_size"": 9, ""pareto_source_counts"": {""bo"": 5, ""llm_warmstart"": 2, ""random_init"": 2}, ""warmstart_trace"": [{""hypervolume"": 0.28930734224784815, ""hypervolume_raw"": 8.512882983214615, ""n_evaluated"": 5, ""pareto_size"": 4}, {""hypervolume"": 0.29324812030558517, ""hypervolume_raw"": 8.628840574223817, ""n_evaluated"": 6, ""pareto_size"": 4}]}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,baseline_ei,False,3,0.3306365743543608,0.02071451758011317,,,0.24244201991331107,,,,,,,"{""max_hv"": 0.3523453862447989, ""mean_hv"": 0.3306365743543608, ""mean_init_hv"": 0.24244201991331107, ""min_hv"": 0.3027474253058717, ""runs"": [{""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.3368169115124117, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 0, ""warmstart_hv_last"": 0.23715755760242924}, {""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.3523453862447989, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 1, ""warmstart_hv_last"": 0.24382990362843543}, {""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.3027474253058717, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 2, ""warmstart_hv_last"": 0.24633859850906856}], ""std_hv"": 0.02071451758011317}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,warmstart_acq_prior,False,3,0.3461309535418995,0.006495644459840543,,,0.29347256665328975,,,,,,,"{""max_hv"": 0.3537644035492175, ""mean_hv"": 0.3461309535418995, ""mean_init_hv"": 0.29347256665328975, ""min_hv"": 0.33788840362503864, ""runs"": [{""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.33788840362503864, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 0, ""warmstart_hv_last"": 0.30190167030238824}, {""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3467400534514423, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 1, ""warmstart_hv_last"": 0.2887934629739515}, {""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3537644035492175, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 2, ""warmstart_hv_last"": 0.28972256668352947}], ""std_hv"": 0.006495644459840543}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,warmstart_acq_prior_proposal_light,False,3,0.35688235778914307,0.0023058935539115584,,,0.29163511315979007,,,,,,,"{""max_hv"": 0.35888141800341156, ""mean_hv"": 0.35688235778914307, ""mean_init_hv"": 0.29163511315979007, ""min_hv"": 0.3536515642915161, ""runs"": [{""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5, ""proposal"": 8}, ""hv_violations"": 0, ""hypervolume"": 0.35888141800341156, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": true, ""seed"": 0, ""warmstart_hv_last"": 0.30190167030238824}, {""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5, ""proposal"": 8}, ""hv_violations"": 0, ""hypervolume"": 0.3536515642915161, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": true, ""seed"": 1, ""warmstart_hv_last"": 0.2887934629739515}, {""acq_prior_active"": true, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5, ""proposal"": 8}, ""hv_violations"": 0, ""hypervolume"": 0.3581140910725015, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": true, ""seed"": 2, ""warmstart_hv_last"": 0.28421020620303045}], ""std_hv"": 0.0023058935539115584}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,warmstart_guided_ei,False,3,0.3227088668393162,0.009649213183285302,,,0.29347256665328975,,,,,,,"{""max_hv"": 0.3363507704962425, ""mean_hv"": 0.3227088668393162, ""mean_init_hv"": 0.29347256665328975, ""min_hv"": 0.3155966744812452, ""runs"": [{""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3363507704962425, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 0, ""warmstart_hv_last"": 0.2992591736513799}, {""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3155966744812452, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 1, ""warmstart_hv_last"": 0.2887934629739515}, {""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.316179155540461, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 2, ""warmstart_hv_last"": 0.2923650633345378}], ""std_hv"": 0.009649213183285302}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,warmstart_old_gp_coupling,False,3,0.3555828986265779,0.008636713555237065,,,0.29271379630829364,,,,,,,"{""max_hv"": 0.3641120829151941, ""mean_hv"": 0.3555828986265779, ""mean_init_hv"": 0.29271379630829364, ""min_hv"": 0.34374671529673023, ""runs"": [{""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3588898976678094, ""last_lambda"": 1.0, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 0, ""warmstart_hv_last"": 0.2996253592673999}, {""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.34374671529673023, ""last_lambda"": 1.0, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 1, ""warmstart_hv_last"": 0.2861509663229431}, {""acq_prior_active"": false, ""candidate_source_counts"": {""guidance"": 26, ""hotspot"": 5}, ""hv_violations"": 0, ""hypervolume"": 0.3641120829151941, ""last_lambda"": 1.0, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 2, ""warmstart_hv_last"": 0.2923650633345378}], ""std_hv"": 0.008636713555237065}"
optimized_experiments,acq_prior_comparison_v1,,optimized_experiments/acq_prior_comparison_v1,optimized_experiments/acq_prior_comparison_v1/report.json,warmstart_plain_ei,False,3,0.3358332624193033,0.02507075861388358,,,0.29259173443628694,,,,,,,"{""max_hv"": 0.35776045654727956, ""mean_hv"": 0.3358332624193033, ""mean_init_hv"": 0.29259173443628694, ""min_hv"": 0.3007405745214491, ""runs"": [{""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.3489987561891812, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 0, ""warmstart_hv_last"": 0.2992591736513799}, {""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.35776045654727956, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 1, ""warmstart_hv_last"": 0.2861509663229431}, {""acq_prior_active"": false, ""candidate_source_counts"": {}, ""hv_violations"": 0, ""hypervolume"": 0.3007405745214491, ""last_lambda"": null, ""n_feasible"": 16, ""proposal_ready"": false, ""seed"": 2, ""warmstart_hv_last"": 0.2923650633345378}], ""std_hv"": 0.02507075861388358}"
